"","x"
"1","Xanthomonas_OG0002632"
"2","Xanthomonas_OG0002948"
"3","Xanthomonas_OG0003552"
"4","Xanthomonas_OG0003559"
"5","Xanthomonas_OG0003601"
"6","Xanthomonas_OG0003717"
"7","Xanthomonas_OG0003844"
"8","Xanthomonas_OG0003859"
"9","Xanthomonas_OG0003865"
"10","Xanthomonas_OG0003883"
"11","Xanthomonas_OG0003917"
"12","Xanthomonas_OG0003921"
"13","Xanthomonas_OG0003940"
"14","Xanthomonas_OG0003955"
"15","Xanthomonas_OG0003963"
"16","Xanthomonas_OG0003987"
"17","Xanthomonas_OG0004006"
"18","Xanthomonas_OG0004014"
"19","Xanthomonas_OG0004046"
"20","Xanthomonas_OG0004071"
"21","Xanthomonas_OG0004098"
"22","Xanthomonas_OG0004112"
"23","Xanthomonas_OG0004123"
"24","Xanthomonas_OG0004154"
"25","Xanthomonas_OG0004155"
"26","Xanthomonas_OG0004177"
"27","Xanthomonas_OG0004183"
"28","Xanthomonas_OG0004186"
"29","Xanthomonas_OG0004187"
"30","Xanthomonas_OG0004226"
"31","Xanthomonas_OG0004272"
"32","Xanthomonas_OG0004282"
"33","Xanthomonas_OG0004298"
"34","Xanthomonas_OG0004335"
"35","Xanthomonas_OG0004359"
"36","Xanthomonas_OG0004360"
"37","Xanthomonas_OG0004361"
"38","Xanthomonas_OG0004362"
"39","Xanthomonas_OG0004364"
"40","Xanthomonas_OG0004405"
"41","Xanthomonas_OG0004422"
"42","Xanthomonas_OG0004437"
"43","Xanthomonas_OG0004442"
"44","Xanthomonas_OG0004443"
"45","Xanthomonas_OG0004444"
"46","Xanthomonas_OG0004455"
"47","Xanthomonas_OG0004522"
"48","Xanthomonas_OG0004542"
"49","Xanthomonas_OG0004592"
"50","Xanthomonas_OG0004705"
"51","Xanthomonas_OG0004727"
"52","Xanthomonas_OG0004740"
"53","Xanthomonas_OG0004854"
"54","Xanthomonas_OG0004857"
"55","Xanthomonas_OG0004869"
"56","Xanthomonas_OG0004901"
"57","Xanthomonas_OG0004933"
"58","Xanthomonas_OG0005000"
"59","Xanthomonas_OG0005001"
"60","Xanthomonas_OG0005017"
"61","Xanthomonas_OG0005018"
"62","Xanthomonas_OG0005026"
"63","Xanthomonas_OG0005028"
"64","Xanthomonas_OG0005035"
"65","Xanthomonas_OG0005036"
"66","Xanthomonas_OG0005073"
"67","Xanthomonas_OG0005074"
"68","Xanthomonas_OG0005105"
"69","Xanthomonas_OG0005106"
"70","Xanthomonas_OG0005110"
"71","Xanthomonas_OG0005125"
"72","Xanthomonas_OG0005140"
"73","Xanthomonas_OG0005141"
"74","Xanthomonas_OG0005142"
"75","Xanthomonas_OG0005143"
"76","Xanthomonas_OG0005144"
"77","Xanthomonas_OG0005145"
"78","Xanthomonas_OG0005150"
"79","Xanthomonas_OG0005204"
"80","Xanthomonas_OG0005221"
"81","Xanthomonas_OG0005231"
"82","Xanthomonas_OG0005238"
"83","Xanthomonas_OG0005274"
"84","Xanthomonas_OG0005293"
"85","Xanthomonas_OG0005325"
"86","Xanthomonas_OG0005328"
"87","Xanthomonas_OG0005372"
"88","Xanthomonas_OG0005376"
"89","Xanthomonas_OG0005379"
"90","Xanthomonas_OG0005405"
"91","Xanthomonas_OG0005421"
"92","Xanthomonas_OG0005440"
"93","Xanthomonas_OG0005442"
"94","Xanthomonas_OG0005460"
"95","Xanthomonas_OG0005463"
"96","Xanthomonas_OG0005508"
"97","Xanthomonas_OG0005526"
"98","Xanthomonas_OG0005530"
"99","Xanthomonas_OG0005602"
"100","Xanthomonas_OG0005604"
"101","Xanthomonas_OG0005626"
"102","Xanthomonas_OG0005633"
"103","Xanthomonas_OG0005662"
"104","Xanthomonas_OG0005727"
"105","Xanthomonas_OG0005742"
"106","Xanthomonas_OG0005743"
"107","Xanthomonas_OG0005765"
"108","Xanthomonas_OG0005802"
"109","Xanthomonas_OG0005808"
"110","Xanthomonas_OG0005813"
"111","Xanthomonas_OG0005894"
"112","Xanthomonas_OG0005897"
"113","Xanthomonas_OG0005898"
"114","Xanthomonas_OG0005902"
"115","Xanthomonas_OG0005959"
"116","Xanthomonas_OG0005973"
"117","Xanthomonas_OG0006035"
"118","Xanthomonas_OG0006153"
